"Country","League","Season","Date","Time","","Home","Away","HG","AG","Res","PH","PD","PA"
"Argentina","Liga Profesional","2023","5/13/2023","0:00","","Huracan","Godoy Cruz","0","0","0","2.11","2.99","3.71"
"Argentina","Liga Profesional","2023","5/13/2023","1:30","","Atl. Tucuman","Argentinos Jrs","1","2","-1","3.31","3.03","2.49"
"Argentina","Liga Profesional","2023","5/13/2023","19:30","","Independiente","Tigre","2","1","1","2.75","3.1","2.89"
"Argentina","Liga Profesional","2023","5/13/2023","22:00","","Banfield","San Lorenzo","1","2","-1","3.06","2.81","2.86"
"Argentina","Liga Profesional","2023","5/14/2023","0:30","","Instituto","Colon Santa Fe","1","0","1","2.4","3.1","3.4"
"Argentina","Liga Profesional","2023","5/14/2023","0:30","","Newells Old Boys","Arsenal Sarandi","2","0","1","1.64","3.65","6.57"
"Argentina","Liga Profesional","2023","5/14/2023","18:00","","Defensa y Justicia","Estudiantes L.P.","1","1","0","3.12","3.13","2.55"
"Argentina","Liga Profesional","2023","5/14/2023","20:30","","Platense","Racing Club","3","0","1","3.27","3.13","2.45"
"Argentina","Liga Profesional","2023","5/14/2023","23:00","","Boca Juniors","Belgrano","2","0","1","1.78","3.44","5.41"
"Argentina","Liga Profesional","2023","5/15/2023","1:30","","Talleres Cordoba","River Plate","2","1","1","3.27","3.36","2.33"
"Argentina","Liga Profesional","2023","5/15/2023","19:30","","Barracas Central","Central Cordoba","2","2","0","2.35","3.13","3.45"
"Argentina","Liga Profesional","2023","5/15/2023","19:30","","Union de Santa Fe","Sarmiento Junin","0","2","-1","2.2","3.16","3.82"
"Argentina","Liga Profesional","2023","5/15/2023","22:00","","Gimnasia L.P.","Lanus","1","0","1","3.39","3.02","2.46"
"Argentina","Liga Profesional","2023","5/16/2023","0:30","","Velez Sarsfield","Rosario Central","0","0","0","2.25","3.07","3.78"
"Argentina","Liga Profesional","2023","5/19/2023","1:00","","Arsenal Sarandi","Independiente","2","1","1","4.47","3.16","2.02"
"Argentina","Liga Profesional","2023","5/19/2023","19:30","","Godoy Cruz","Gimnasia L.P.","2","0","1","1.9","3.4","4.63"
"Argentina","Liga Profesional","2023","5/19/2023","23:00","","Central Cordoba","Union de Santa Fe","0","1","-1","2.08","3.26","4.07"
"Argentina","Liga Profesional","2023","5/19/2023","23:00","","Estudiantes L.P.","Banfield","1","0","1","1.75","3.42","5.83"
"Argentina","Liga Profesional","2023","5/19/2023","23:00","","Rosario Central","Defensa y Justicia","2","1","1","2.36","3.13","3.46"
